Temperature,Year,Statistics,Country,ISO3
22.8188,1953,Aug Average,Spain,ESP
20.5246,1954,Aug Average,Spain,ESP
22.4005,1955,Aug Average,Spain,ESP
20.8421,1956,Aug Average,Spain,ESP
22.0876,1957,Aug Average,Spain,ESP
21.5364,1958,Aug Average,Spain,ESP
21.7077,1959,Aug Average,Spain,ESP
21.0738,1960,Aug Average,Spain,ESP
22.2254,1961,Aug Average,Spain,ESP
22.8403,1962,Aug Average,Spain,ESP
20.6105,1963,Aug Average,Spain,ESP
22.1359,1964,Aug Average,Spain,ESP
21.6139,1965,Aug Average,Spain,ESP
21.6566,1966,Aug Average,Spain,ESP
21.7576,1967,Aug Average,Spain,ESP
21.3386,1968,Aug Average,Spain,ESP
21.7964,1969,Aug Average,Spain,ESP
21.4365,1970,Aug Average,Spain,ESP
21.2367,1971,Aug Average,Spain,ESP
20.4659,1972,Aug Average,Spain,ESP
23.0746,1973,Aug Average,Spain,ESP
21.5794,1974,Aug Average,Spain,ESP
22.2799,1975,Aug Average,Spain,ESP
21.8234,1976,Aug Average,Spain,ESP
19.774,1977,Aug Average,Spain,ESP
21.9641,1978,Aug Average,Spain,ESP
21.6924,1979,Aug Average,Spain,ESP
22.4893,1980,Aug Average,Spain,ESP
22.0649,1981,Aug Average,Spain,ESP
21.8023,1982,Aug Average,Spain,ESP
21.18,1983,Aug Average,Spain,ESP
21.3046,1984,Aug Average,Spain,ESP
21.8532,1985,Aug Average,Spain,ESP
21.6341,1986,Aug Average,Spain,ESP
22.8325,1987,Aug Average,Spain,ESP
22.6214,1988,Aug Average,Spain,ESP
23.4396,1989,Aug Average,Spain,ESP
23.7361,1990,Aug Average,Spain,ESP
24.1959,1991,Aug Average,Spain,ESP
23.223000000000006,1992,Aug Average,Spain,ESP
22.6828,1993,Aug Average,Spain,ESP
23.413,1994,Aug Average,Spain,ESP
23.0999,1995,Aug Average,Spain,ESP
21.5356,1996,Aug Average,Spain,ESP
22.9021,1997,Aug Average,Spain,ESP
23.6987,1998,Aug Average,Spain,ESP
22.9921,1999,Aug Average,Spain,ESP
22.5909,2000,Aug Average,Spain,ESP
23.1579,2001,Aug Average,Spain,ESP
21.4205,2002,Aug Average,Spain,ESP
24.5143,2003,Aug Average,Spain,ESP
22.9163,2004,Aug Average,Spain,ESP
22.8505,2005,Aug Average,Spain,ESP
22.3724,2006,Aug Average,Spain,ESP
21.9836,2007,Aug Average,Spain,ESP
22.792,2008,Aug Average,Spain,ESP
24.0078,2009,Aug Average,Spain,ESP
23.6326,2010,Aug Average,Spain,ESP
23.3899,2011,Aug Average,Spain,ESP
23.8738,2012,Aug Average,Spain,ESP
23.316,2013,Aug Average,Spain,ESP
22.7247,2014,Aug Average,Spain,ESP
23.2454,2015,Aug Average,Spain,ESP
23.6965,2016,Aug Average,Spain,ESP
16.7779,1901,Aug Average,Luxembourg,LUX
15.3398,1902,Aug Average,Luxembourg,LUX
15.6699,1903,Aug Average,Luxembourg,LUX
16.8418,1904,Aug Average,Luxembourg,LUX
16.4378,1905,Aug Average,Luxembourg,LUX
17.0846,1906,Aug Average,Luxembourg,LUX
16.2748,1907,Aug Average,Luxembourg,LUX
15.0584,1908,Aug Average,Luxembourg,LUX
16.7086,1909,Aug Average,Luxembourg,LUX
16.1743,1910,Aug Average,Luxembourg,LUX
20.4539,1911,Aug Average,Luxembourg,LUX
14.1201,1912,Aug Average,Luxembourg,LUX
15.6384,1913,Aug Average,Luxembourg,LUX
17.6018,1914,Aug Average,Luxembourg,LUX
15.8676,1915,Aug Average,Luxembourg,LUX
16.6906,1916,Aug Average,Luxembourg,LUX
16.4125,1917,Aug Average,Luxembourg,LUX
16.6798,1918,Aug Average,Luxembourg,LUX
17.1142,1919,Aug Average,Luxembourg,LUX
14.9658,1920,Aug Average,Luxembourg,LUX
17.3896,1921,Aug Average,Luxembourg,LUX
15.5216,1922,Aug Average,Luxembourg,LUX
16.6687,1923,Aug Average,Luxembourg,LUX
14.4599,1924,Aug Average,Luxembourg,LUX
16.5882,1925,Aug Average,Luxembourg,LUX
16.7932,1926,Aug Average,Luxembourg,LUX
16.6283,1927,Aug Average,Luxembourg,LUX
16.8848,1928,Aug Average,Luxembourg,LUX
16.9311,1929,Aug Average,Luxembourg,LUX
16.7151,1930,Aug Average,Luxembourg,LUX
15.5782,1931,Aug Average,Luxembourg,LUX
19.4529,1932,Aug Average,Luxembourg,LUX
18.2413,1933,Aug Average,Luxembourg,LUX
16.5272,1934,Aug Average,Luxembourg,LUX
17.3358,1935,Aug Average,Luxembourg,LUX
16.9409,1936,Aug Average,Luxembourg,LUX
17.6548,1937,Aug Average,Luxembourg,LUX
17.5318,1938,Aug Average,Luxembourg,LUX
17.4918,1939,Aug Average,Luxembourg,LUX
15.1998,1940,Aug Average,Luxembourg,LUX
15.2571,1941,Aug Average,Luxembourg,LUX
17.7613,1942,Aug Average,Luxembourg,LUX
17.6056,1943,Aug Average,Luxembourg,LUX
19.6322,1944,Aug Average,Luxembourg,LUX
16.5886,1945,Aug Average,Luxembourg,LUX
16.5387,1946,Aug Average,Luxembourg,LUX
20.5193,1947,Aug Average,Luxembourg,LUX
16.7102,1948,Aug Average,Luxembourg,LUX
17.9184,1949,Aug Average,Luxembourg,LUX
17.6945,1950,Aug Average,Luxembourg,LUX
16.5761,1951,Aug Average,Luxembourg,LUX
17.688,1952,Aug Average,Luxembourg,LUX
16.7606,1953,Aug Average,Luxembourg,LUX
15.6826,1954,Aug Average,Luxembourg,LUX
17.1826,1955,Aug Average,Luxembourg,LUX
14.2071,1956,Aug Average,Luxembourg,LUX
15.4343,1957,Aug Average,Luxembourg,LUX
17.1718,1958,Aug Average,Luxembourg,LUX
17.605999999999995,1959,Aug Average,Luxembourg,LUX
15.9233,1960,Aug Average,Luxembourg,LUX
16.2741,1961,Aug Average,Luxembourg,LUX
16.3136,1962,Aug Average,Luxembourg,LUX
15.4201,1963,Aug Average,Luxembourg,LUX
16.6888,1964,Aug Average,Luxembourg,LUX
15.4876,1965,Aug Average,Luxembourg,LUX
