Temperature,Year,Statistics,Country,ISO3
19.0788,1983,Aug Average,Bolivia,BOL
18.5879,1984,Aug Average,Bolivia,BOL
19.3149,1985,Aug Average,Bolivia,BOL
19.881,1986,Aug Average,Bolivia,BOL
19.8975,1987,Aug Average,Bolivia,BOL
21.0921,1988,Aug Average,Bolivia,BOL
18.765,1989,Aug Average,Bolivia,BOL
19.4301,1990,Aug Average,Bolivia,BOL
19.1449,1991,Aug Average,Bolivia,BOL
18.6941,1992,Aug Average,Bolivia,BOL
18.7622,1993,Aug Average,Bolivia,BOL
20.025,1994,Aug Average,Bolivia,BOL
19.1107,1995,Aug Average,Bolivia,BOL
19.4593,1996,Aug Average,Bolivia,BOL
18.2449,1997,Aug Average,Bolivia,BOL
19.1173,1998,Aug Average,Bolivia,BOL
18.5381,1999,Aug Average,Bolivia,BOL
19.5541,2000,Aug Average,Bolivia,BOL
19.8757,2001,Aug Average,Bolivia,BOL
19.6491,2002,Aug Average,Bolivia,BOL
17.3874,2003,Aug Average,Bolivia,BOL
19.4945,2004,Aug Average,Bolivia,BOL
19.3268,2005,Aug Average,Bolivia,BOL
18.442,2006,Aug Average,Bolivia,BOL
17.9952,2007,Aug Average,Bolivia,BOL
19.2988,2008,Aug Average,Bolivia,BOL
19.0217,2009,Aug Average,Bolivia,BOL
18.649,2010,Aug Average,Bolivia,BOL
18.7761,2011,Aug Average,Bolivia,BOL
19.1112,2012,Aug Average,Bolivia,BOL
17.5675,2013,Aug Average,Bolivia,BOL
20.2421,2014,Aug Average,Bolivia,BOL
20.1359,2015,Aug Average,Bolivia,BOL
19.4749,2016,Aug Average,Bolivia,BOL
20.8518,1901,Aug Average,Paraguay,PRY
17.840999999999994,1902,Aug Average,Paraguay,PRY
20.0596,1903,Aug Average,Paraguay,PRY
20.3329,1904,Aug Average,Paraguay,PRY
20.5368,1905,Aug Average,Paraguay,PRY
20.5593,1906,Aug Average,Paraguay,PRY
19.0666,1907,Aug Average,Paraguay,PRY
19.1573,1908,Aug Average,Paraguay,PRY
22.5123,1909,Aug Average,Paraguay,PRY
21.5777,1910,Aug Average,Paraguay,PRY
19.1546,1911,Aug Average,Paraguay,PRY
19.6556,1912,Aug Average,Paraguay,PRY
19.9175,1913,Aug Average,Paraguay,PRY
19.4829,1914,Aug Average,Paraguay,PRY
20.544,1915,Aug Average,Paraguay,PRY
19.2163,1916,Aug Average,Paraguay,PRY
19.1588,1917,Aug Average,Paraguay,PRY
19.6718,1918,Aug Average,Paraguay,PRY
19.3499,1919,Aug Average,Paraguay,PRY
18.7223,1920,Aug Average,Paraguay,PRY
20.5618,1921,Aug Average,Paraguay,PRY
19.9375,1922,Aug Average,Paraguay,PRY
20.3665,1923,Aug Average,Paraguay,PRY
18.5839,1924,Aug Average,Paraguay,PRY
21.9127,1925,Aug Average,Paraguay,PRY
20.8578,1926,Aug Average,Paraguay,PRY
19.8785,1927,Aug Average,Paraguay,PRY
19.3439,1928,Aug Average,Paraguay,PRY
19.4107,1929,Aug Average,Paraguay,PRY
19.7616,1930,Aug Average,Paraguay,PRY
20.3015,1931,Aug Average,Paraguay,PRY
19.2894,1932,Aug Average,Paraguay,PRY
21.7419,1933,Aug Average,Paraguay,PRY
20.6722,1934,Aug Average,Paraguay,PRY
20.7183,1935,Aug Average,Paraguay,PRY
18.7021,1936,Aug Average,Paraguay,PRY
22.3936,1937,Aug Average,Paraguay,PRY
19.2536,1938,Aug Average,Paraguay,PRY
22.342,1939,Aug Average,Paraguay,PRY
19.7257,1940,Aug Average,Paraguay,PRY
21.8885,1941,Aug Average,Paraguay,PRY
21.5126,1942,Aug Average,Paraguay,PRY
17.5284,1943,Aug Average,Paraguay,PRY
23.0417,1944,Aug Average,Paraguay,PRY
23.9478,1945,Aug Average,Paraguay,PRY
21.9762,1946,Aug Average,Paraguay,PRY
19.5326,1947,Aug Average,Paraguay,PRY
20.0025,1948,Aug Average,Paraguay,PRY
20.4982,1949,Aug Average,Paraguay,PRY
22.398000000000003,1950,Aug Average,Paraguay,PRY
20.9844,1951,Aug Average,Paraguay,PRY
22.2055,1952,Aug Average,Paraguay,PRY
24.1366,1953,Aug Average,Paraguay,PRY
21.1842,1954,Aug Average,Paraguay,PRY
20.9933,1955,Aug Average,Paraguay,PRY
19.3486,1956,Aug Average,Paraguay,PRY
21.116,1957,Aug Average,Paraguay,PRY
18.1187,1958,Aug Average,Paraguay,PRY
19.4384,1959,Aug Average,Paraguay,PRY
20.4305,1960,Aug Average,Paraguay,PRY
24.2374,1961,Aug Average,Paraguay,PRY
19.7638,1962,Aug Average,Paraguay,PRY
22.8262,1963,Aug Average,Paraguay,PRY
20.6926,1964,Aug Average,Paraguay,PRY
21.7759,1965,Aug Average,Paraguay,PRY
19.2918,1966,Aug Average,Paraguay,PRY
21.9876,1967,Aug Average,Paraguay,PRY
21.0581,1968,Aug Average,Paraguay,PRY
19.2237,1969,Aug Average,Paraguay,PRY
19.5665,1970,Aug Average,Paraguay,PRY
20.2767,1971,Aug Average,Paraguay,PRY
19.379,1972,Aug Average,Paraguay,PRY
17.5268,1973,Aug Average,Paraguay,PRY
19.6286,1974,Aug Average,Paraguay,PRY
19.4677,1975,Aug Average,Paraguay,PRY
19.2638,1976,Aug Average,Paraguay,PRY
20.1277,1977,Aug Average,Paraguay,PRY
19.3386,1978,Aug Average,Paraguay,PRY
22.6998,1979,Aug Average,Paraguay,PRY
20.7469,1980,Aug Average,Paraguay,PRY
21.5523,1981,Aug Average,Paraguay,PRY
21.4815,1982,Aug Average,Paraguay,PRY
19.3585,1983,Aug Average,Paraguay,PRY
17.6369,1984,Aug Average,Paraguay,PRY
19.1424,1985,Aug Average,Paraguay,PRY
21.2679,1986,Aug Average,Paraguay,PRY
19.1681,1987,Aug Average,Paraguay,PRY
21.7411,1988,Aug Average,Paraguay,PRY
20.3056,1989,Aug Average,Paraguay,PRY
21.3284,1990,Aug Average,Paraguay,PRY
20.8788,1991,Aug Average,Paraguay,PRY
19.4029,1992,Aug Average,Paraguay,PRY
19.4692,1993,Aug Average,Paraguay,PRY
21.4241,1994,Aug Average,Paraguay,PRY
20.9016,1995,Aug Average,Paraguay,PRY
21.7904,1996,Aug Average,Paraguay,PRY
20.7461,1997,Aug Average,Paraguay,PRY
19.1558,1998,Aug Average,Paraguay,PRY
20.3579,1999,Aug Average,Paraguay,PRY
21.0822,2000,Aug Average,Paraguay,PRY
23.2441,2001,Aug Average,Paraguay,PRY
22.0392,2002,Aug Average,Paraguay,PRY
18.5587,2003,Aug Average,Paraguay,PRY
20.1198,2004,Aug Average,Paraguay,PRY
21.4565,2005,Aug Average,Paraguay,PRY
20.8792,2006,Aug Average,Paraguay,PRY
18.4329,2007,Aug Average,Paraguay,PRY
20.8831,2008,Aug Average,Paraguay,PRY
20.9826,2009,Aug Average,Paraguay,PRY
19.6697,2010,Aug Average,Paraguay,PRY
20.1573,2011,Aug Average,Paraguay,PRY
22.0335,2012,Aug Average,Paraguay,PRY
18.1291,2013,Aug Average,Paraguay,PRY
22.2972,2014,Aug Average,Paraguay,PRY
21.3935,2015,Aug Average,Paraguay,PRY
21.5426,2016,Aug Average,Paraguay,PRY
5.33758,1901,Aug Average,Chile,CHL
3.4969699999999997,1902,Aug Average,Chile,CHL
4.4035,1903,Aug Average,Chile,CHL
5.09659,1904,Aug Average,Chile,CHL
4.3399,1905,Aug Average,Chile,CHL
4.82749,1906,Aug Average,Chile,CHL
4.08708,1907,Aug Average,Chile,CHL
4.00208,1908,Aug Average,Chile,CHL
4.75633,1909,Aug Average,Chile,CHL
4.9025099999999995,1910,Aug Average,Chile,CHL
3.7060000000000004,1911,Aug Average,Chile,CHL
4.337269999999998,1912,Aug Average,Chile,CHL
4.75711,1913,Aug Average,Chile,CHL
4.52923,1914,Aug Average,Chile,CHL
5.18555,1915,Aug Average,Chile,CHL
5.07177,1916,Aug Average,Chile,CHL
4.73226,1917,Aug Average,Chile,CHL
4.72481,1918,Aug Average,Chile,CHL
5.17931,1919,Aug Average,Chile,CHL
5.57346,1920,Aug Average,Chile,CHL
4.43577,1921,Aug Average,Chile,CHL
4.04694,1922,Aug Average,Chile,CHL
3.7411800000000004,1923,Aug Average,Chile,CHL
4.473319999999998,1924,Aug Average,Chile,CHL
5.34572,1925,Aug Average,Chile,CHL
5.28181,1926,Aug Average,Chile,CHL
4.98825,1927,Aug Average,Chile,CHL
5.14345,1928,Aug Average,Chile,CHL
4.72467,1929,Aug Average,Chile,CHL
3.9334,1930,Aug Average,Chile,CHL
4.64963,1931,Aug Average,Chile,CHL
4.11431,1932,Aug Average,Chile,CHL
5.24355,1933,Aug Average,Chile,CHL
5.24664,1934,Aug Average,Chile,CHL
5.14266,1935,Aug Average,Chile,CHL
4.2134,1936,Aug Average,Chile,CHL
4.11297,1937,Aug Average,Chile,CHL
3.6800300000000004,1938,Aug Average,Chile,CHL
5.23569,1939,Aug Average,Chile,CHL
4.492369999999998,1940,Aug Average,Chile,CHL
5.30221,1941,Aug Average,Chile,CHL
4.08453,1942,Aug Average,Chile,CHL
3.79251,1943,Aug Average,Chile,CHL
4.80167,1944,Aug Average,Chile,CHL
5.6431,1945,Aug Average,Chile,CHL
4.6443400000000015,1946,Aug Average,Chile,CHL
4.47025,1947,Aug Average,Chile,CHL
3.2838,1948,Aug Average,Chile,CHL
4.36216,1949,Aug Average,Chile,CHL
4.4909,1950,Aug Average,Chile,CHL
5.52602,1951,Aug Average,Chile,CHL
4.85281,1952,Aug Average,Chile,CHL
5.53726,1953,Aug Average,Chile,CHL
4.60736,1954,Aug Average,Chile,CHL
3.9307300000000014,1955,Aug Average,Chile,CHL
4.5742400000000005,1956,Aug Average,Chile,CHL
4.42133,1957,Aug Average,Chile,CHL
3.9457699999999996,1958,Aug Average,Chile,CHL
4.23324,1959,Aug Average,Chile,CHL
4.841419999999999,1960,Aug Average,Chile,CHL
5.42017,1961,Aug Average,Chile,CHL
4.86651,1962,Aug Average,Chile,CHL
4.69324,1963,Aug Average,Chile,CHL
4.2340800000000005,1964,Aug Average,Chile,CHL
4.909680000000002,1965,Aug Average,Chile,CHL
4.44209,1966,Aug Average,Chile,CHL
4.0052900000000005,1967,Aug Average,Chile,CHL
5.55746,1968,Aug Average,Chile,CHL
4.85569,1969,Aug Average,Chile,CHL
4.17071,1970,Aug Average,Chile,CHL
4.63781,1971,Aug Average,Chile,CHL
3.8629599999999997,1972,Aug Average,Chile,CHL
4.53935,1973,Aug Average,Chile,CHL
4.41205,1974,Aug Average,Chile,CHL
3.77685,1975,Aug Average,Chile,CHL
4.29546,1976,Aug Average,Chile,CHL
4.443919999999999,1977,Aug Average,Chile,CHL
4.03156,1978,Aug Average,Chile,CHL
5.6157,1979,Aug Average,Chile,CHL
5.02462,1980,Aug Average,Chile,CHL
5.27864,1981,Aug Average,Chile,CHL
4.94067,1982,Aug Average,Chile,CHL
4.84615,1983,Aug Average,Chile,CHL
